first_name,second_name,year,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Davinson,Sánchez,2022-2023,0,0,25,668,13,27.5,161.4,48,1,136,23.7,2,0,1,0.5,42,DEF
Ryan,Sessegnon,2022-2023,2,1,35,805,15,103,148.6,290,0,121,54.3,1,0,4,0.5,44,DEF
Steven,Bergwijn,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,MID
Sergio,Reguilón,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,42,DEF
Japhet,Tanganga,2022-2023,0,0,4,145,5,6.2,24.4,0,0,32,3,0,0,0,2.4,38,DEF
Rodrigo,Bentancur,2022-2023,5,2,71,1501,24,180.2,489.6,236,7,342,90.7,6,0,8,0.3,53,MID
Oliver,Skipp,2022-2023,1,0,33,1076,20,131.9,151.4,46,1,153,33.1,3,0,6,0.1,43,MID
Joe,Rodon,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,DEF
Cristian,Romero,2022-2023,0,1,56,2093,35,93.4,430,73,2,376,59.6,7,1,8,1.5,49,DEF
Yves,Bissouma,2022-2023,0,0,23,803,15,124.8,102,21,0,140,24.7,1,0,5,0.2,47,MID
Emerson,Leite de Souza Junior,2022-2023,2,2,76,1385,22,167,333.6,221,9,340,72.2,6,1,2,1.8,48,DEF
Dejan,Kulusevski,2022-2023,2,6,84,1818,34,549.5,371.4,457,5,276,137.4,7,0,2,3.7,78,MID
Dane,Scarlett,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,FWD
Ivan,Perišić,2022-2023,1,7,88,2004,40,654.4,448.6,342,6,394,144.3,6,0,6,15.4,53,DEF
Harvey,White,2022-2023,0,0,1,4,0,7.3,2,0,0,4,0.9,0,0,0,0.3,44,MID
Pape Matar,Sarr,2022-2023,0,0,9,164,9,15.5,26.6,4,0,36,4.6,0,0,1,0.5,42,MID
Brandon,Austin,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,39,GK
Alfie,Devine,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,43,MID
Troy,Parrott,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,45,FWD
Richarlison,de Andrade,2022-2023,0,5,44,821,15,195.3,148,282,2,127,62.4,2,0,2,0.7,84,FWD
Clément,Lenglet,2022-2023,0,2,54,1661,29,117.6,322.4,114,6,322,55.4,4,0,3,0.3,48,DEF
Djed,Spence,2022-2023,0,0,4,5,0,1.3,0.2,20,0,10,2.2,0,0,0,0.2,41,DEF
Bryan,Gil Salvatierra,2022-2023,0,1,9,146,1,27.5,30.4,27,0,22,8.5,1,0,1,0,50,MID
Arnaut,Danjuma,2022-2023,1,0,10,86,2,21.4,52.4,58,0,35,13.2,0,0,0,0,61,MID
Pedro,Porro,2022-2023,2,1,31,768,19,216.5,146.2,81,0,139,44.4,1,0,0,0.8,48,DEF
Romaine,Mundle,2022-2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,MID
